name,id,new_id,x,y,address,owner_name,notes,category
رويال خيطان 2,45,18101248,47.97427766,29.28244547,خيطان القديمة ق 8,ص/ عبد الرحمن عبد اللطيف السليم,,royal
رويال الرقعي,46,20779824,47.91578755,29.30207213,الرقعي ق 13 قسيمة 34,ص/ ريحانه توفيق جعفر الكصيمي,,royal
رويال خيطان 4,47,20483062,47.97004752,29.29046091,خيطان القديمة ق 7 قسيمة 32,ص/ وفاء سليمان عبد العزيز الخلف,,royal
رويال خيطان فايف,48,18964158,47.9766282,29.29741966,خيطان ق 6 شارع 62 قسيمة 353,ص/ ابرار صالح عبد الله الموسوي,,royal
رويال الرقعي فور,49,19255986,47.90668285,29.30181093,الرقعي ق 2 شارع 21 ,ص/ انسام خالد عبد الغفار معرفي,,royal
رويال الاندلس,50,12769239,47.8835427,29.29952819,الاندلس ق4 شارع 2قسيمه227,ص/مريم حسين علي العطية,,royal
رويال الفروانية فور,51,20183991,47.951221,29.27716649,الفروانية ق 5 قسيمة 7504,ص/ اشواق فهد جاعد العتيبي,,royal
رويال الرضا,52,16097054,47.96147883,29.28025904,الفروانية ق 4 شارع حبيب مناور,ص/ اسراء عباس شرهان حسن,,royal
رويال الفروانية ثري,53,21204598,47.96083997,29.28219597,الفروانية ق 1 شارع علي فهد الدويلة,ص/ مريم عدنان محمود يعقوب باقر,,royal
رويال الجهراء اربعه,54,91228835,47.66361025,29.35174828,الجهراء ق 5 ش 3,ص/ هيا خالد سالم البريكي,,royal
رويال الجهراء,55,14655286,47.66452233,29.35258794,الجهراء ق 3 شارع دعبل الخزاعي,ص/ عادل عبد الجبار علوان الشراد,,royal
رويال الجهراء بلس,56,17582641,47.67083436,29.34081545,الجهراء ق 4 شارع 29-93,ص/ ايمان عبد الرحمن العبد الوهاب,,royal
رويال الرقعي 3,57,20625905,47.90971652,29.30160829,الرقعي-قطعة 2-قسيمة 1493,ص/يوسف مسلم حيدر الرشيدي,,royal
رويال الرقعي فايف,58,95656124,47.91288099,29.30235171,الرقعي-قطعة 2-قسيمة14105-شارع 17,ص.بشاير متعب معيوف العنزي,,royal
